reading	measurement_unit
22	10E-2m
22	10E-2m
22	10E-2m
22	10E-2m
22	10E-2m
22	10E-2m
22	10E-2m
22	10E-2m
22	10E-2m
17	10E-2m
17	10E-2m
16	10E-2m
17	10E-2m
17	10E-2m
17	10E-2m
17	10E-2m
16	10E-2m
15	10E-2m
12	10E-2m
12	10E-2m
11	10E-2m
10	10E-2m
9	10E-2m
9	10E-2m
9	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
7	10E-2m
83	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
255	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
12	10E-2m
16	10E-2m
16	10E-2m
16	10E-2m
17	10E-2m
17	10E-2m
17	10E-2m
16	10E-2m
17	10E-2m
16	10E-2m
16	10E-2m
16	10E-2m
16	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
21	10E-2m
22	10E-2m
22	10E-2m
